dataset,case,step,frame_index_in_file,time,source_file,x_top10mean,y_rank450mean_ascending
sorted_degree,LP1_16,301,0,0.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.2775689,184.2019104
sorted_degree,LP1_16,301,1,1.0,step7_301_sorted_degree_TIP3_O_exp.dat,265.58278520000005,184.88344920000003
sorted_degree,LP1_16,301,2,2.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.4947889,184.20145280000003
sorted_degree,LP1_16,301,3,3.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.18132729999996,184.28719089999998
sorted_degree,LP1_16,301,4,4.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.0045606,184.1737887
sorted_degree,LP1_16,301,5,5.0,step7_301_sorted_degree_TIP3_O_exp.dat,266.35438009999996,185.0799293
sorted_degree,LP1_16,301,6,6.0,step7_301_sorted_degree_TIP3_O_exp.dat,266.66731749999997,185.51759769999998
sorted_degree,LP1_16,301,7,7.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.70262820000005,186.52989459999998
sorted_degree,LP1_16,301,8,8.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.0246904,185.80735009999998
sorted_degree,LP1_16,301,9,9.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.9637618,185.60831850000002
sorted_degree,LP1_16,301,10,10.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.8537691,185.0031357
sorted_degree,LP1_16,301,11,11.0,step7_301_sorted_degree_TIP3_O_exp.dat,266.2777858,185.1483989
sorted_degree,LP1_16,301,12,12.0,step7_301_sorted_degree_TIP3_O_exp.dat,267.0071965,185.52992380000003
sorted_degree,LP1_16,301,13,13.0,step7_301_sorted_degree_TIP3_O_exp.dat,265.5029981,185.8205869
sorted_degree,LP1_16,301,14,14.0,step7_301_sorted_degree_TIP3_O_exp.dat,269.35157970000006,185.34022509999997
sorted_degree,LP1_16,301,15,15.0,step7_301_sorted_degree_TIP3_O_exp.dat,266.806561,185.6489297
sorted_degree,LP1_16,301,16,16.0,step7_301_sorted_degree_TIP3_O_exp.dat,266.78031119999997,185.08576090000003
sorted_degree,LP1_16,301,17,17.0,step7_301_sorted_degree_TIP3_O_exp.dat,268.8420647,185.59956449999999
sorted_degree,LP1_16,301,18,18.0,step7_301_sorted_degree_TIP3_O_exp.dat,266.03663910000006,185.1032538
sorted_degree,LP1_16,301,19,19.0,step7_301_sorted_degree_TIP3_O_exp.dat,265.47061279999997,183.4275367
sorted_degree,LP1_16,301,20,20.0,step7_301_sorted_degree_TIP3_O_exp.dat,265.92800350000005,183.6992323
sorted_degree,LP1_16,301,21,21.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.8916964,183.73045269999997
sorted_degree,LP1_16,301,22,22.0,step7_301_sorted_degree_TIP3_O_exp.dat,267.85667079999996,185.3473622
sorted_degree,LP1_16,301,23,23.0,step7_301_sorted_degree_TIP3_O_exp.dat,267.58116140000004,185.66688100000002
sorted_degree,LP1_16,301,24,24.0,step7_301_sorted_degree_TIP3_O_exp.dat,269.21629620000004,186.1244046
sorted_degree,LP1_16,301,25,25.0,step7_301_sorted_degree_TIP3_O_exp.dat,267.5808451000001,185.4528809
sorted_degree,LP1_16,301,26,26.0,step7_301_sorted_degree_TIP3_O_exp.dat,265.6149922,185.0400879
sorted_degree,LP1_16,301,27,27.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.9944261,185.9059214
sorted_degree,LP1_16,301,28,28.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.81610409999996,185.6381889
sorted_degree,LP1_16,301,29,29.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.34328050000005,184.04926749999998
sorted_degree,LP1_16,301,30,30.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.4555581999999,184.1514261
sorted_degree,LP1_16,301,31,31.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.9793251,184.9953251
sorted_degree,LP1_16,301,32,32.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.3994862,186.2999237
sorted_degree,LP1_16,301,33,33.0,step7_301_sorted_degree_TIP3_O_exp.dat,265.0722930999999,186.0863227
sorted_degree,LP1_16,301,34,34.0,step7_301_sorted_degree_TIP3_O_exp.dat,265.88648950000004,186.0003343
sorted_degree,LP1_16,301,35,35.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.53638479999995,185.5480686
sorted_degree,LP1_16,301,36,36.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.6878215,185.5626986
sorted_degree,LP1_16,301,37,37.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.02430330000004,184.54613969999997
sorted_degree,LP1_16,301,38,38.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.539715,182.9162819
sorted_degree,LP1_16,301,39,39.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.49233310000005,183.5371678
sorted_degree,LP1_16,301,40,40.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.2261541,185.0518251
sorted_degree,LP1_16,301,41,41.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.9277443,185.1100697
sorted_degree,LP1_16,301,42,42.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.1164639,185.621275
sorted_degree,LP1_16,301,43,43.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.51687419999996,185.1082713
sorted_degree,LP1_16,301,44,44.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.9540047,185.54351060000002
sorted_degree,LP1_16,301,45,45.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.21449309999997,185.87832840000002
sorted_degree,LP1_16,301,46,46.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.7543392,185.0091477
sorted_degree,LP1_16,301,47,47.0,step7_301_sorted_degree_TIP3_O_exp.dat,266.09424779999995,186.25900629999998
sorted_degree,LP1_16,301,48,48.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.9835611,185.6926477
sorted_degree,LP1_16,301,49,49.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.8639167,185.28894380000003
sorted_degree,LP1_16,301,50,50.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.31130040000005,184.78460019999997
sorted_degree,LP1_16,301,51,51.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.1220451,184.64003610000003
sorted_degree,LP1_16,301,52,52.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.0113986,183.82452370000001
sorted_degree,LP1_16,301,53,53.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.3836385,183.8776961
sorted_degree,LP1_16,301,54,54.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.50385470000003,183.58179669999998
sorted_degree,LP1_16,301,55,55.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.334049,183.6272158
sorted_degree,LP1_16,301,56,56.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.66396469999995,185.4111263
sorted_degree,LP1_16,301,57,57.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.5165953,184.5714929
sorted_degree,LP1_16,301,58,58.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.4171888,185.5880988
sorted_degree,LP1_16,301,59,59.0,step7_301_sorted_degree_TIP3_O_exp.dat,264.1920459,183.48705669999998
sorted_degree,LP1_16,301,60,60.0,step7_301_sorted_degree_TIP3_O_exp.dat,266.83354440000005,184.82547870000002
sorted_degree,LP1_16,301,61,61.0,step7_301_sorted_degree_TIP3_O_exp.dat,265.39620720000005,183.0390518
sorted_degree,LP1_16,301,62,62.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.85159250000004,183.62536559999998
sorted_degree,LP1_16,301,63,63.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.8736147,182.793084
sorted_degree,LP1_16,301,64,64.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.3352518,183.640671
sorted_degree,LP1_16,301,65,65.0,step7_301_sorted_degree_TIP3_O_exp.dat,263.4462631,183.1665478
sorted_degree,LP1_16,301,66,66.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.76553989999996,182.15929999999997
sorted_degree,LP1_16,301,67,67.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.7148039,182.48296290000002
sorted_degree,LP1_16,301,68,68.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.3006144,181.42733749999996
sorted_degree,LP1_16,301,69,69.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.1553495,180.5069047
sorted_degree,LP1_16,301,70,70.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.7268143,182.9712082
sorted_degree,LP1_16,301,71,71.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.29989850000004,181.5567896
sorted_degree,LP1_16,301,72,72.0,step7_301_sorted_degree_TIP3_O_exp.dat,257.93046979999997,181.6245285
sorted_degree,LP1_16,301,73,73.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.03223330000003,181.4718661
sorted_degree,LP1_16,301,74,74.0,step7_301_sorted_degree_TIP3_O_exp.dat,258.8005331,180.83357100000003
sorted_degree,LP1_16,301,75,75.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.4049394,181.1077343
sorted_degree,LP1_16,301,76,76.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.0356292,181.0920338
sorted_degree,LP1_16,301,77,77.0,step7_301_sorted_degree_TIP3_O_exp.dat,255.8141778,179.4225418
sorted_degree,LP1_16,301,78,78.0,step7_301_sorted_degree_TIP3_O_exp.dat,257.1855564,180.15573120000002
sorted_degree,LP1_16,301,79,79.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.749676,182.02704599999998
sorted_degree,LP1_16,301,80,80.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.23561920000003,181.32610489999996
sorted_degree,LP1_16,301,81,81.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.56302700000003,181.62202570000002
sorted_degree,LP1_16,301,82,82.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.90194119999995,180.9557212
sorted_degree,LP1_16,301,83,83.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.30025049999995,182.1707978
sorted_degree,LP1_16,301,84,84.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.9701092,181.2441668
sorted_degree,LP1_16,301,85,85.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.2815232,181.3893117
sorted_degree,LP1_16,301,86,86.0,step7_301_sorted_degree_TIP3_O_exp.dat,257.3443312,181.0551978
sorted_degree,LP1_16,301,87,87.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.0613491,181.0776305
sorted_degree,LP1_16,301,88,88.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.90145220000005,182.32160979999998
sorted_degree,LP1_16,301,89,89.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.0626608,181.9397687
sorted_degree,LP1_16,301,90,90.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.548742,181.06493640000002
sorted_degree,LP1_16,301,91,91.0,step7_301_sorted_degree_TIP3_O_exp.dat,258.2968451,182.6210606
sorted_degree,LP1_16,301,92,92.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.04669279999996,181.8504
sorted_degree,LP1_16,301,93,93.0,step7_301_sorted_degree_TIP3_O_exp.dat,258.2309845,181.47531020000002
sorted_degree,LP1_16,301,94,94.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.3039105,182.1110234
sorted_degree,LP1_16,301,95,95.0,step7_301_sorted_degree_TIP3_O_exp.dat,258.75375859999997,181.51870319999998
sorted_degree,LP1_16,301,96,96.0,step7_301_sorted_degree_TIP3_O_exp.dat,262.4930248,183.2250172
sorted_degree,LP1_16,301,97,97.0,step7_301_sorted_degree_TIP3_O_exp.dat,261.89484300000004,183.04020789999998
sorted_degree,LP1_16,301,98,98.0,step7_301_sorted_degree_TIP3_O_exp.dat,260.51693620000003,182.69604240000004
sorted_degree,LP1_16,301,99,99.0,step7_301_sorted_degree_TIP3_O_exp.dat,259.6416787,181.48759820000004
sorted_degree,LP1_16,302,0,0.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.53380430000004,182.26299269999998
sorted_degree,LP1_16,302,1,1.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.0862677,181.47793679999998
sorted_degree,LP1_16,302,2,2.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.09725740000005,181.2389617
sorted_degree,LP1_16,302,3,3.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.5528987,182.0426232
sorted_degree,LP1_16,302,4,4.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.5562556,181.5557659
sorted_degree,LP1_16,302,5,5.0,step7_302_sorted_degree_TIP3_O_exp.dat,258.72184609999994,182.13957969999998
sorted_degree,LP1_16,302,6,6.0,step7_302_sorted_degree_TIP3_O_exp.dat,258.390811,181.40521199999998
sorted_degree,LP1_16,302,7,7.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.367135,182.87420870000003
sorted_degree,LP1_16,302,8,8.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.4050701,182.89479189999997
sorted_degree,LP1_16,302,9,9.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.95756489999997,182.36851299999998
sorted_degree,LP1_16,302,10,10.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.9874483,183.499948
sorted_degree,LP1_16,302,11,11.0,step7_302_sorted_degree_TIP3_O_exp.dat,263.07281,182.241201
sorted_degree,LP1_16,302,12,12.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.1407822,183.14119290000002
sorted_degree,LP1_16,302,13,13.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.22885829999996,181.8052533
sorted_degree,LP1_16,302,14,14.0,step7_302_sorted_degree_TIP3_O_exp.dat,264.0726032,182.9047326
sorted_degree,LP1_16,302,15,15.0,step7_302_sorted_degree_TIP3_O_exp.dat,262.5350549,181.7682228
sorted_degree,LP1_16,302,16,16.0,step7_302_sorted_degree_TIP3_O_exp.dat,262.5633004,181.6318577
sorted_degree,LP1_16,302,17,17.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.80107519999996,182.6982266
sorted_degree,LP1_16,302,18,18.0,step7_302_sorted_degree_TIP3_O_exp.dat,259.00827050000004,182.1283321
sorted_degree,LP1_16,302,19,19.0,step7_302_sorted_degree_TIP3_O_exp.dat,261.1868406,182.23138490000002
sorted_degree,LP1_16,302,20,20.0,step7_302_sorted_degree_TIP3_O_exp.dat,262.22417,183.7685174
sorted_degree,LP1_16,302,21,21.0,step7_302_sorted_degree_TIP3_O_exp.dat,258.59857700000003,182.58285489999997
sorted_degree,LP1_16,302,22,22.0,step7_302_sorted_degree_TIP3_O_exp.dat,260.5923629,182.8092199
