pH,x_top10mean,y_rank450mean_ascending
4.1,260.3681640625,176.76333618164062
4.1,256.8581237792969,176.1563262939453
4.1,259.15966796875,173.23741149902344
4.1,261.0520935058594,179.35214233398438
4.1,261.8909606933594,178.091552734375
4.1,259.11553955078125,178.0137481689453
4.1,262.082275390625,177.31170654296875
4.1,263.01165771484375,180.63441467285156
4.1,260.85577392578125,177.85107421875
4.1,261.9883728027344,177.4012908935547
4.1,265.6640319824219,179.32647705078125
4.1,259.7918701171875,178.8341827392578
4.1,258.12921142578125,177.16021728515625
4.1,262.11541748046875,177.68734741210938
4.1,258.83270263671875,178.9137725830078
4.1,256.10577392578125,176.53802490234375
4.1,259.241943359375,178.57363891601562
4.1,258.4302978515625,177.1341552734375
4.1,256.6781921386719,176.5862274169922
4.1,261.99139404296875,177.19772338867188
4.1,265.17022705078125,180.26072692871094
4.1,260.556396484375,178.77769470214844
4.1,263.44683837890625,176.98233032226562
4.1,262.8726501464844,178.9733123779297
4.1,263.7393798828125,177.73228454589844
4.1,267.0563049316406,178.36737060546875
4.1,267.343505859375,178.87425231933594
4.1,264.07000732421875,175.6285858154297
4.1,262.833740234375,176.10647583007812
4.1,261.97857666015625,178.20506286621094
4.1,264.38116455078125,179.7308807373047
4.1,264.6068115234375,176.71043395996094
4.1,260.7658996582031,179.5848388671875
4.1,258.3380126953125,177.04212951660156
4.1,254.3577117919922,175.83465576171875
4.1,262.25634765625,177.017333984375
4.1,262.4859924316406,175.8190155029297
4.1,260.6341247558594,178.96340942382812
4.1,264.7687683105469,177.9237060546875
4.1,264.6487121582031,179.6261749267578
4.1,257.8128356933594,177.1168670654297
4.1,257.4964294433594,178.48873901367188
4.1,257.5896911621094,178.26235961914062
4.1,262.15679931640625,177.92494201660156
4.1,262.4035949707031,178.8593292236328
4.1,257.5670471191406,174.8919677734375
4.1,260.3015441894531,177.62234497070312
4.1,253.52978515625,175.26449584960938
4.1,258.4589538574219,175.09893798828125
4.1,259.2303466796875,177.61500549316406
4.1,261.2619934082031,179.79258728027344
4.1,261.2218933105469,177.7405242919922
4.1,261.0102233886719,177.96109008789062
4.1,259.47943115234375,178.7611541748047
4.1,266.37420654296875,180.69229125976562
4.1,251.71786499023438,176.05026245117188
4.1,254.37911987304688,177.74234008789062
4.1,262.6437072753906,181.04689025878906
4.1,263.3023986816406,176.4286346435547
4.1,253.51937866210938,175.97755432128906
